Ano de eleição,Município,UF,Região,Nome candidato,Votos válidos,Votos nominais,Estado_Municipio,Código SUS,Cobertura Vacinal 2015,Cobertura Vacinal 2016,Cobertura Vacinal 2017,Cobertura Vacinal 2018,Cobertura Vacinal 2019,Cobertura Vacinal 2020,Cobertura Vacinal 2021,Cobertura Vacinal 2022
2018,ACRELANDIA,AC,NORTE,JAIR MESSIAS BOLSONARO,6465,5165,AC-ACRELANDIA,120001,39.3,10.82,32.46,38.29,36.72,35.16,44.75,37.55
2018,ASSIS BRASIL,AC,NORTE,JAIR MESSIAS BOLSONARO,3993,2333,AC-ASSIS BRASIL,120005,46.67,53.37,94.82,108.95,79.84,52.42,65.41,86.98
2018,BRASILEIA,AC,NORTE,JAIR MESSIAS BOLSONARO,11919,8711,AC-BRASILEIA,120010,108.52,69.1,82.27,97.76,86.67,71.23,51.3,80.27
2018,BUJARI,AC,NORTE,JAIR MESSIAS BOLSONARO,5950,4676,AC-BUJARI,120013,107.92,58.68,113.64,65.73,24.43,15.64,29.18,87.55
2018,CAPIXABA,AC,NORTE,JAIR MESSIAS BOLSONARO,4981,3895,AC-CAPIXABA,120017,112.5,64.53,29.06,29.38,20.16,20.58,44.7,41.58
2018,CRUZEIRO DO SUL,AC,NORTE,JAIR MESSIAS BOLSONARO,38965,31147,AC-CRUZEIRO DO SUL,120020,127.51,89.87,79.53,105.22,85.33,38.36,59.15,124.07
2018,EPITACIOLANDIA,AC,NORTE,JAIR MESSIAS BOLSONARO,8310,6284,AC-EPITACIOLANDIA,120025,20.73,43.89,95.8,69.26,78.69,39.18,70.38,83.96
2018,FEIJO,AC,NORTE,JAIR MESSIAS BOLSONARO,11552,6296,AC-FEIJO,120030,73.44,88.86,85.19,99.76,85.59,68.31,69.8,58.81
2018,JORDAO,AC,NORTE,FERNANDO HADDAD,2790,1415,AC-JORDAO,120032,59.41,90.04,88.61,76.92,61.28,81.2,94.95,81.46
2018,MANOEL URBANO,AC,NORTE,JAIR MESSIAS BOLSONARO,3895,2274,AC-MANOEL URBANO,120034,52.65,58.85,67.9,49.58,32.57,44.06,62.61,49.64
2018,MARECHAL THAUMATURGO,AC,NORTE,JAIR MESSIAS BOLSONARO,4999,2548,AC-MARECHAL THAUMATURGO,120035,44.89,68.52,100.69,100.29,122.68,46.39,27.68,79.94
2018,MANCIO LIMA,AC,NORTE,JAIR MESSIAS BOLSONARO,7559,5225,AC-MANCIO LIMA,120033,105.51,89.35,89.1,129.23,129.89,51.96,54.78,79.29
2018,PLACIDO DE CASTRO,AC,NORTE,JAIR MESSIAS BOLSONARO,8368,6531,AC-PLACIDO DE CASTRO,120038,37.92,18.32,30.12,42.77,25.25,23.28,40.25,41.75
2018,PORTO ACRE,AC,NORTE,JAIR MESSIAS BOLSONARO,9209,7150,AC-PORTO ACRE,120080,12.71,1.91,23.16,19.72,10.47,18.6,36.41,34.35
2018,PORTO WALTER,AC,NORTE,JAIR MESSIAS BOLSONARO,3105,1897,AC-PORTO WALTER,120039,116.67,99.59,121.22,96.94,85.11,48.94,38.52,64.46
2018,RIO BRANCO,AC,NORTE,JAIR MESSIAS BOLSONARO,191201,158264,AC-RIO BRANCO,120040,136.97,137.19,114.95,124.55,126.11,100.43,86.32,86.95
2018,RODRIGUES ALVES,AC,NORTE,JAIR MESSIAS BOLSONARO,6444,4762,AC-RODRIGUES ALVES,120042,95.86,100.0,93.89,104.64,85.79,50.27,9.28,19.02
2018,SANTA ROSA DO PURUS,AC,NORTE,FERNANDO HADDAD,1822,975,AC-SANTA ROSA DO PURUS,120043,104.42,101.66,85.08,170.53,66.67,75.76,59.68,101.34
2018,SENA MADUREIRA,AC,NORTE,JAIR MESSIAS BOLSONARO,15762,12051,AC-SENA MADUREIRA,120050,92.32,67.48,126.21,100.52,101.79,83.59,100.0,106.74
2018,SENADOR GUIOMARD,AC,NORTE,JAIR MESSIAS BOLSONARO,12699,10247,AC-SENADOR GUIOMARD,120045,18.48,4.42,25.44,37.8,24.05,26.08,33.33,36.91
2018,TARAUACA,AC,NORTE,JAIR MESSIAS BOLSONARO,13559,8292,AC-TARAUACA,120060,103.1,112.68,123.0,79.31,78.8,85.16,84.08,69.85
2018,XAPURI,AC,NORTE,JAIR MESSIAS BOLSONARO,8329,4929,AC-XAPURI,120070,35.37,47.06,45.75,50.0,45.57,54.43,37.04,53.8
2018,ANADIA,AL,NORDESTE,FERNANDO HADDAD,7893,6182,AL-ANADIA,270020,81.97,66.16,80.61,110.48,99.51,79.02,95.15,121.08
2018,ARAPIRACA,AL,NORDESTE,FERNANDO HADDAD,105130,56755,AL-ARAPIRACA,270030,104.76,94.44,91.34,97.86,110.43,72.46,75.56,87.56
2018,ATALAIA,AL,NORDESTE,FERNANDO HADDAD,19811,13524,AL-ATALAIA,270040,73.98,90.45,90.88,107.02,77.16,54.47,101.29,121.35
2018,BARRA DE SANTO ANTONIO,AL,NORDESTE,FERNANDO HADDAD,7816,4923,AL-BARRA DE SANTO ANTONIO,270050,57.0,141.11,88.15,103.7,61.17,62.46,77.74,158.62
