"Município";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";" Total"
"110001 ALTA FLORESTA D\'OESTE";"62,04";"48,97";"82,70";"124,85";"99,72";"82,20";"68,12";"114,11";"84,60"
"110002 ARIQUEMES";"112,03";"104,25";"107,29";"100,24";"98,20";"82,25";"84,38";"112,61";"99,82"
"110003 CABIXI";"13,51";"29,33";"36,00";"32,88";"17,91";"56,72";"56,25";"94,20";"41,90"
"110004 CACOAL";"135,95";"114,15";"128,46";"125,34";"109,09";"87,47";"97,38";"125,51";"114,66"
"110005 CEREJEIRAS";"83,76";"57,43";"85,14";"71,48";"44,04";"84,12";"102,11";"110,78";"79,59"
"110006 COLORADO DO OESTE";"23,83";"20,15";"42,49";"25,11";"19,75";"50,21";"96,26";"171,92";"52,54"
"110007 CORUMBIARA";"6,90";"15,20";"104,00";"100,00";"50,57";"55,17";"63,78";"65,42";"59,04"
"110008 COSTA MARQUES";"103,42";"64,42";"65,17";"110,33";"131,48";"84,26";"68,67";"100,53";"89,32"
"110009 ESPIGAO D\'OESTE";"100,86";"103,43";"93,33";"89,30";"71,48";"83,49";"104,00";"64,12";"88,41"
"110010 GUAJARA-MIRIM";"120,69";"122,83";"80,87";"102,38";"85,39";"57,24";"75,16";"71,33";"90,05"
"110011 JARU";"120,90";"125,26";"136,79";"102,73";"109,22";"108,98";"70,60";"93,61";"108,51"
"110012 JI-PARANA";"134,70";"124,92";"106,13";"99,60";"96,29";"109,27";"91,11";"122,64";"110,36"
"110013 MACHADINHO D\'OESTE";"106,77";"59,76";"71,40";"122,61";"86,64";"107,13";"87,20";"77,90";"88,61"
"110014 NOVA BRASILANDIA D\'OESTE";"80,58";"102,76";"77,56";"89,13";"126,79";"70,54";"96,93";"132,17";"96,30"
"110015 OURO PRETO DO OESTE";"110,62";"104,01";"73,15";"81,79";"91,52";"64,01";"57,69";"71,17";"82,07"
"110018 PIMENTA BUENO";"168,67";"151,26";"110,39";"104,33";"88,94";"100,49";"97,89";"112,78";"116,43"
"110020 PORTO VELHO";"114,09";"107,92";"91,58";"79,48";"79,49";"69,67";"51,91";"76,65";"84,32"
"110025 PRESIDENTE MEDICI";"44,96";"102,42";"75,43";"103,99";"94,81";"82,35";"82,57";"120,46";"88,42"
"110026 RIO CRESPO";"110,53";"52,78";"105,56";"148,57";"97,96";"124,49";"90,00";"77,08";"100,29"
"110028 ROLIM DE MOURA";"154,84";"139,92";"124,92";"98,83";"56,49";"17,03";"74,22";"158,38";"101,92"
"110029 SANTA LUZIA D\'OESTE";"54,08";"31,07";"52,43";"71,93";"53,57";"43,75";"42,42";"66,67";"52,14"
"110030 VILHENA";"158,93";"162,83";"151,90";"137,70";"147,24";"66,76";"116,54";"180,94";"140,16"
"110032 SAO MIGUEL DO GUAPORE";"74,08";"108,82";"104,96";"124,04";"89,25";"66,40";"45,61";"83,20";"86,83"
"110033 NOVA MAMORE";"42,69";"44,94";"49,65";"70,07";"67,76";"58,52";"36,57";"76,60";"56,03"
"110034 ALVORADA D\'OESTE";"92,27";"95,65";"69,02";"88,55";"93,26";"76,97";"40,98";"85,71";"80,00"
"110037 ALTO ALEGRE DOS PARECIS";"41,72";"19,77";"27,91";"64,88";"65,12";"52,91";"75,32";"136,99";"58,98"
"110040 ALTO PARAISO";"83,41";"59,06";"49,61";"80,91";"90,91";"86,78";"57,08";"129,82";"78,84"
"110045 BURITIS";"114,77";"115,48";"88,39";"104,33";"101,74";"102,37";"124,19";"138,78";"110,45"
"110050 NOVO HORIZONTE DO OESTE";"35,25";"17,20";"79,57";"97,89";"101,10";"54,95";"88,78";"211,54";"81,47"
"110060 CACAULANDIA";"73,02";"63,79";"84,48";"120,90";"101,41";"42,25";"37,33";"107,14";"78,42"
"110070 CAMPO NOVO DE RONDONIA";"30,60";"25,97";"49,72";"88,89";"52,87";"36,78";"31,93";"64,74";"47,20"
"110080 CANDEIAS DO JAMARI";"40,00";"22,30";"40,88";"47,04";"38,29";"45,59";"67,36";"110,47";"51,48"
