,Ano de eleição,Município,UF,Região,Turno,Nome candidato,Cargo,Votos válidos,Votos nominais,Estado_Municipio
17344,2018,ACRELANDIA,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,6465,5165,AC-ACRELANDIA
2808,2018,ASSIS BRASIL,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,3993,2333,AC-ASSIS BRASIL
12270,2018,BRASILEIA,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,11919,8711,AC-BRASILEIA
9035,2018,BUJARI,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,5950,4676,AC-BUJARI
10024,2018,CAPIXABA,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,4981,3895,AC-CAPIXABA
8047,2018,CRUZEIRO DO SUL,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,38965,31147,AC-CRUZEIRO DO SUL
798,2018,EPITACIOLANDIA,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,8310,6284,AC-EPITACIOLANDIA
16380,2018,FEIJO,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,11552,6296,AC-FEIJO
7064,2018,JORDAO,AC,NORTE,2,FERNANDO HADDAD,Presidente,2790,1415,AC-JORDAO
12468,2018,MANOEL URBANO,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,3895,2274,AC-MANOEL URBANO
14483,2018,MARECHAL THAUMATURGO,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,4999,2548,AC-MARECHAL THAUMATURGO
8965,2018,MANCIO LIMA,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,7559,5225,AC-MANCIO LIMA
1761,2018,PLACIDO DE CASTRO,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,8368,6531,AC-PLACIDO DE CASTRO
5726,2018,PORTO ACRE,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,9209,7150,AC-PORTO ACRE
