,Ano de eleição,Cargo,Código município,Município,Região,UF,Turno,Nome candidato,Votos válidos,Votos nominais,Estado_Municipio
48225,2022,Presidente,1120,ACRELANDIA,NORTE,AC,1,JAIR MESSIAS BOLSONARO,7118,5238,AC-ACRELANDIA
40477,2022,Presidente,1570,ASSIS BRASIL,NORTE,AC,1,JAIR MESSIAS BOLSONARO,4871,2694,AC-ASSIS BRASIL
40962,2022,Presidente,1058,BRASILEIA,NORTE,AC,1,JAIR MESSIAS BOLSONARO,14138,9143,AC-BRASILEIA
38465,2022,Presidente,1007,BUJARI,NORTE,AC,1,JAIR MESSIAS BOLSONARO,7263,4505,AC-BUJARI
37847,2022,Presidente,1015,CAPIXABA,NORTE,AC,1,JAIR MESSIAS BOLSONARO,6011,3944,AC-CAPIXABA
592,2022,Presidente,1074,CRUZEIRO DO SUL,NORTE,AC,1,JAIR MESSIAS BOLSONARO,45201,30977,AC-CRUZEIRO DO SUL
38107,2022,Presidente,1112,EPITACIOLANDIA,NORTE,AC,1,JAIR MESSIAS BOLSONARO,9666,6494,AC-EPITACIOLANDIA
39220,2022,Presidente,1139,FEIJO,NORTE,AC,1,LUIZ INÁCIO LULA DA SILVA,15220,7930,AC-FEIJO
2138,2022,Presidente,1104,JORDAO,NORTE,AC,1,LUIZ INÁCIO LULA DA SILVA,4018,2213,AC-JORDAO
18950,2022,Presidente,1554,MANOEL URBANO,NORTE,AC,1,JAIR MESSIAS BOLSONARO,5534,3141,AC-MANOEL URBANO
43648,2022,Presidente,1040,MARECHAL THAUMATURGO,NORTE,AC,1,JAIR MESSIAS BOLSONARO,8059,4146,AC-MARECHAL THAUMATURGO
24037,2022,Presidente,1090,MANCIO LIMA,NORTE,AC,1,JAIR MESSIAS BOLSONARO,10244,6469,AC-MANCIO LIMA
41420,2022,Presidente,1511,PLACIDO DE CASTRO,NORTE,AC,1,JAIR MESSIAS BOLSONARO,9390,6209,AC-PLACIDO DE CASTRO
37961,2022,Presidente,1023,PORTO ACRE,NORTE,AC,1,JAIR MESSIAS BOLSONARO,10259,7062,AC-PORTO ACRE
6400,2022,Presidente,1066,PORTO WALTER,NORTE,AC,1,LUIZ INÁCIO LULA DA SILVA,5503,2660,AC-PORTO WALTER
39550,2022,Presidente,1392,RIO BRANCO,NORTE,AC,1,JAIR MESSIAS BOLSONARO,203629,130393,AC-RIO BRANCO
32298,2022,Presidente,1082,RODRIGUES ALVES,NORTE,AC,1,JAIR MESSIAS BOLSONARO,8866,6551,AC-RODRIGUES ALVES
1936,2022,Presidente,1031,SANTA ROSA DO PURUS,NORTE,AC,1,LUIZ INÁCIO LULA DA SILVA,2518,1357,AC-SANTA ROSA DO PURUS
29918,2022,Presidente,1457,SENA MADUREIRA,NORTE,AC,1,JAIR MESSIAS BOLSONARO,21786,14317,AC-SENA MADUREIRA
53205,2022,Presidente,1538,SENADOR GUIOMARD,NORTE,AC,1,JAIR MESSIAS BOLSONARO,13755,9134,AC-SENADOR GUIOMARD
32094,2022,Presidente,1473,TARAUACA,NORTE,AC,1,JAIR MESSIAS BOLSONARO,18508,9146,AC-TARAUACA
230,2022,Presidente,1490,XAPURI,NORTE,AC,1,JAIR MESSIAS BOLSONARO,9360,5142,AC-XAPURI
43277,2022,Presidente,27030,ANADIA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,8593,6234,AL-ANADIA
32553,2022,Presidente,27057,ARAPIRACA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,116927,59431,AL-ARAPIRACA
40144,2022,Presidente,27073,ATALAIA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,22604,13894,AL-ATALAIA
33371,2022,Presidente,27090,BARRA DE SANTO ANTONIO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,9283,5358,AL-BARRA DE SANTO ANTONIO
985,2022,Presidente,27111,BARRA DE SAO MIGUEL,NORDESTE,AL,1,JAIR MESSIAS BOLSONARO,5905,2769,AL-BARRA DE SAO MIGUEL
4406,2022,Presidente,27138,BATALHA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,9597,6244,AL-BATALHA
34197,2022,Presidente,27170,BELO MONTE,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,4461,3192,AL-BELO MONTE
51700,2022,Presidente,27154,BELEM,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,3488,2442,AL-BELEM
26105,2022,Presidente,27197,BOCA DA MATA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,13532,7789,AL-BOCA DA MATA
14013,2022,Presidente,27219,BRANQUINHA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,6123,4230,AL-BRANQUINHA
21130,2022,Presidente,27235,CACIMBINHAS,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,5955,4189,AL-CACIMBINHAS
39179,2022,Presidente,27251,CAJUEIRO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,10006,6482,AL-CAJUEIRO
58989,2022,Presidente,27081,CAMPESTRE,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,4044,2685,AL-CAMPESTRE
29257,2022,Presidente,27278,CAMPO ALEGRE,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,18067,11834,AL-CAMPO ALEGRE
1568,2022,Presidente,27294,CAMPO GRANDE,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,6562,5082,AL-CAMPO GRANDE
60565,2022,Presidente,27316,CANAPI,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,9304,7512,AL-CANAPI
7755,2022,Presidente,27332,CAPELA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,9481,5477,AL-CAPELA
20429,2022,Presidente,27359,CARNEIROS,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,5041,3945,AL-CARNEIROS
51564,2022,Presidente,27375,CHA PRETA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,4373,3193,AL-CHA PRETA
5429,2022,Presidente,27391,COITE DO NOIA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,6613,5049,AL-COITE DO NOIA
7702,2022,Presidente,27413,COLONIA LEOPOLDINA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,10290,5517,AL-COLONIA LEOPOLDINA
2930,2022,Presidente,27430,COQUEIRO SECO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,3959,2367,AL-COQUEIRO SECO
