Estado_Municipio,Região,UF,Município,Ano de eleição (2018),Nome candidato (2018),Votos válidos (2018),Votos nominais (2018),Ano de eleição (2022),Nome candidato (2022),Votos válidos (2022),Votos nominais (2022),Código SUS,Cobertura Vacinal 2015,Cobertura Vacinal 2016,Cobertura Vacinal 2017,Cobertura Vacinal 2018,Cobertura Vacinal 2019,Cobertura Vacinal 2020,Cobertura Vacinal 2021,Cobertura Vacinal 2022
AC-ACRELANDIA,NORTE,AC,ACRELANDIA,2018,JAIR MESSIAS BOLSONARO,6465,5165,2022,JAIR MESSIAS BOLSONARO,7118,5238,120001,39.3,10.82,32.46,38.29,36.72,35.16,44.75,37.55
AC-ASSIS BRASIL,NORTE,AC,ASSIS BRASIL,2018,JAIR MESSIAS BOLSONARO,3993,2333,2022,JAIR MESSIAS BOLSONARO,4871,2694,120005,46.67,53.37,94.82,108.95,79.84,52.42,65.41,86.98
AC-BRASILEIA,NORTE,AC,BRASILEIA,2018,JAIR MESSIAS BOLSONARO,11919,8711,2022,JAIR MESSIAS BOLSONARO,14138,9143,120010,108.52,69.1,82.27,97.76,86.67,71.23,51.3,80.27
AC-BUJARI,NORTE,AC,BUJARI,2018,JAIR MESSIAS BOLSONARO,5950,4676,2022,JAIR MESSIAS BOLSONARO,7263,4505,120013,107.92,58.68,113.64,65.73,24.43,15.64,29.18,87.55
AC-CAPIXABA,NORTE,AC,CAPIXABA,2018,JAIR MESSIAS BOLSONARO,4981,3895,2022,JAIR MESSIAS BOLSONARO,6011,3944,120017,112.5,64.53,29.06,29.38,20.16,20.58,44.7,41.58
AC-CRUZEIRO DO SUL,NORTE,AC,CRUZEIRO DO SUL,2018,JAIR MESSIAS BOLSONARO,38965,31147,2022,JAIR MESSIAS BOLSONARO,45201,30977,120020,127.51,89.87,79.53,105.22,85.33,38.36,59.15,124.07
AC-EPITACIOLANDIA,NORTE,AC,EPITACIOLANDIA,2018,JAIR MESSIAS BOLSONARO,8310,6284,2022,JAIR MESSIAS BOLSONARO,9666,6494,120025,20.73,43.89,95.8,69.26,78.69,39.18,70.38,83.96
AC-FEIJO,NORTE,AC,FEIJO,2018,JAIR MESSIAS BOLSONARO,11552,6296,2022,LUIZ INÁCIO LULA DA SILVA,15220,7930,120030,73.44,88.86,85.19,99.76,85.59,68.31,69.8,58.81
AC-JORDAO,NORTE,AC,JORDAO,2018,FERNANDO HADDAD,2790,1415,2022,LUIZ INÁCIO LULA DA SILVA,4018,2213,120032,59.41,90.04,88.61,76.92,61.28,81.2,94.95,81.46
AC-MANCIO LIMA,NORTE,AC,MANCIO LIMA,2018,JAIR MESSIAS BOLSONARO,7559,5225,2022,JAIR MESSIAS BOLSONARO,10244,6469,120033,105.51,89.35,89.1,129.23,129.89,51.96,54.78,79.29
AC-MANOEL URBANO,NORTE,AC,MANOEL URBANO,2018,JAIR MESSIAS BOLSONARO,3895,2274,2022,JAIR MESSIAS BOLSONARO,5534,3141,120034,52.65,58.85,67.9,49.58,32.57,44.06,62.61,49.64
AC-MARECHAL THAUMATURGO,NORTE,AC,MARECHAL THAUMATURGO,2018,JAIR MESSIAS BOLSONARO,4999,2548,2022,JAIR MESSIAS BOLSONARO,8059,4146,120035,44.89,68.52,100.69,100.29,122.68,46.39,27.68,79.94
AC-PLACIDO DE CASTRO,NORTE,AC,PLACIDO DE CASTRO,2018,JAIR MESSIAS BOLSONARO,8368,6531,2022,JAIR MESSIAS BOLSONARO,9390,6209,120038,37.92,18.32,30.12,42.77,25.25,23.28,40.25,41.75
AC-PORTO ACRE,NORTE,AC,PORTO ACRE,2018,JAIR MESSIAS BOLSONARO,9209,7150,2022,JAIR MESSIAS BOLSONARO,10259,7062,120080,12.71,1.91,23.16,19.72,10.47,18.6,36.41,34.35
AC-PORTO WALTER,NORTE,AC,PORTO WALTER,2018,JAIR MESSIAS BOLSONARO,3105,1897,2022,LUIZ INÁCIO LULA DA SILVA,5503,2660,120039,116.67,99.59,121.22,96.94,85.11,48.94,38.52,64.46
AC-RIO BRANCO,NORTE,AC,RIO BRANCO,2018,JAIR MESSIAS BOLSONARO,191201,158264,2022,JAIR MESSIAS BOLSONARO,203629,130393,120040,136.97,137.19,114.95,124.55,126.11,100.43,86.32,86.95
AC-RODRIGUES ALVES,NORTE,AC,RODRIGUES ALVES,2018,JAIR MESSIAS BOLSONARO,6444,4762,2022,JAIR MESSIAS BOLSONARO,8866,6551,120042,95.86,100.0,93.89,104.64,85.79,50.27,9.28,19.02
AC-SANTA ROSA DO PURUS,NORTE,AC,SANTA ROSA DO PURUS,2018,FERNANDO HADDAD,1822,975,2022,LUIZ INÁCIO LULA DA SILVA,2518,1357,120043,104.42,101.66,85.08,170.53,66.67,75.76,59.68,101.34
AC-SENA MADUREIRA,NORTE,AC,SENA MADUREIRA,2018,JAIR MESSIAS BOLSONARO,15762,12051,2022,JAIR MESSIAS BOLSONARO,21786,14317,120050,92.32,67.48,126.21,100.52,101.79,83.59,100.0,106.74
