Nome Município,Código,2015,2016,2017,2018,2019,2020,2021,2022,Estado,Estado_Municipio
ALTA FLORESTA D'OESTE,110001,62.04,48.97,82.7,124.85,99.72,82.2,68.12,114.11,RO,RO-ALTA FLORESTA D'OESTE
ARIQUEMES,110002,112.03,104.25,107.29,100.24,98.2,82.25,84.38,112.61,RO,RO-ARIQUEMES
CABIXI,110003,13.51,29.33,36.0,32.88,17.91,56.72,56.25,94.2,RO,RO-CABIXI
CACOAL,110004,135.95,114.15,128.46,125.34,109.09,87.47,97.38,125.51,RO,RO-CACOAL
CEREJEIRAS,110005,83.76,57.43,85.14,71.48,44.04,84.12,102.11,110.78,RO,RO-CEREJEIRAS
COLORADO DO OESTE,110006,23.83,20.15,42.49,25.11,19.75,50.21,96.26,171.92,RO,RO-COLORADO DO OESTE
CORUMBIARA,110007,6.9,15.2,104.0,100.0,50.57,55.17,63.78,65.42,RO,RO-CORUMBIARA
COSTA MARQUES,110008,103.42,64.42,65.17,110.33,131.48,84.26,68.67,100.53,RO,RO-COSTA MARQUES
ESPIGAO D'OESTE,110009,100.86,103.43,93.33,89.3,71.48,83.49,104.0,64.12,RO,RO-ESPIGAO D'OESTE
GUAJARA-MIRIM,110010,120.69,122.83,80.87,102.38,85.39,57.24,75.16,71.33,RO,RO-GUAJARA-MIRIM
JARU,110011,120.9,125.26,136.79,102.73,109.22,108.98,70.6,93.61,RO,RO-JARU
JI-PARANA,110012,134.7,124.92,106.13,99.6,96.29,109.27,91.11,122.64,RO,RO-JI-PARANA
MACHADINHO D'OESTE,110013,106.77,59.76,71.4,122.61,86.64,107.13,87.2,77.9,RO,RO-MACHADINHO D'OESTE
NOVA BRASILANDIA D'OESTE,110014,80.58,102.76,77.56,89.13,126.79,70.54,96.93,132.17,RO,RO-NOVA BRASILANDIA D'OESTE
OURO PRETO DO OESTE,110015,110.62,104.01,73.15,81.79,91.52,64.01,57.69,71.17,RO,RO-OURO PRETO DO OESTE
PIMENTA BUENO,110018,168.67,151.26,110.39,104.33,88.94,100.49,97.89,112.78,RO,RO-PIMENTA BUENO
PORTO VELHO,110020,114.09,107.92,91.58,79.48,79.49,69.67,51.91,76.65,RO,RO-PORTO VELHO
PRESIDENTE MEDICI,110025,44.96,102.42,75.43,103.99,94.81,82.35,82.57,120.46,RO,RO-PRESIDENTE MEDICI
RIO CRESPO,110026,110.53,52.78,105.56,148.57,97.96,124.49,90.0,77.08,RO,RO-RIO CRESPO
ROLIM DE MOURA,110028,154.84,139.92,124.92,98.83,56.49,17.03,74.22,158.38,RO,RO-ROLIM DE MOURA
SANTA LUZIA D'OESTE,110029,54.08,31.07,52.43,71.93,53.57,43.75,42.42,66.67,RO,RO-SANTA LUZIA D'OESTE
VILHENA,110030,158.93,162.83,151.9,137.7,147.24,66.76,116.54,180.94,RO,RO-VILHENA
SAO MIGUEL DO GUAPORE,110032,74.08,108.82,104.96,124.04,89.25,66.4,45.61,83.2,RO,RO-SAO MIGUEL DO GUAPORE
NOVA MAMORE,110033,42.69,44.94,49.65,70.07,67.76,58.52,36.57,76.6,RO,RO-NOVA MAMORE
ALVORADA D'OESTE,110034,92.27,95.65,69.02,88.55,93.26,76.97,40.98,85.71,RO,RO-ALVORADA D'OESTE
ALTO ALEGRE DOS PARECIS,110037,41.72,19.77,27.91,64.88,65.12,52.91,75.32,136.99,RO,RO-ALTO ALEGRE DOS PARECIS
ALTO PARAISO,110040,83.41,59.06,49.61,80.91,90.91,86.78,57.08,129.82,RO,RO-ALTO PARAISO
BURITIS,110045,114.77,115.48,88.39,104.33,101.74,102.37,124.19,138.78,RO,RO-BURITIS
NOVO HORIZONTE DO OESTE,110050,35.25,17.2,79.57,97.89,101.1,54.95,88.78,211.54,RO,RO-NOVO HORIZONTE DO OESTE
CACAULANDIA,110060,73.02,63.79,84.48,120.9,101.41,42.25,37.33,107.14,RO,RO-CACAULANDIA
CAMPO NOVO DE RONDONIA,110070,30.6,25.97,49.72,88.89,52.87,36.78,31.93,64.74,RO,RO-CAMPO NOVO DE RONDONIA
CANDEIAS DO JAMARI,110080,40.0,22.3,40.88,47.04,38.29,45.59,67.36,110.47,RO,RO-CANDEIAS DO JAMARI
CASTANHEIRAS,110090,0.0,0.0,15.22,25.45,41.03,5.13,28.12,118.92,RO,RO-CASTANHEIRAS
CHUPINGUAIA,110092,12.03,14.56,91.77,41.83,24.85,53.85,77.78,170.99,RO,RO-CHUPINGUAIA
CUJUBIM,110094,105.94,77.5,76.67,98.34,103.35,125.84,75.61,84.15,RO,RO-CUJUBIM
GOVERNADOR JORGE TEIXEIRA,110100,129.57,129.84,113.71,83.93,99.08,60.55,99.11,91.86,RO,RO-GOVERNADOR JORGE TEIXEIRA
ITAPUA DO OESTE,110110,43.09,41.24,37.11,89.15,126.32,126.32,80.73,107.56,RO,RO-ITAPUA DO OESTE
MINISTRO ANDREAZZA,110120,56.73,57.94,80.37,77.42,46.0,55.0,70.24,102.7,RO,RO-MINISTRO ANDREAZZA
MIRANTE DA SERRA,110130,118.85,131.39,62.04,102.7,105.13,65.38,48.78,47.62,RO,RO-MIRANTE DA SERRA
MONTE NEGRO,110140,100.0,124.02,65.2,102.89,101.0,92.0,73.87,86.83,RO,RO-MONTE NEGRO
NOVA UNIAO,110143,195.95,100.91,129.09,126.67,80.85,107.45,75.0,128.74,RO,RO-NOVA UNIAO
PARECIS,110145,45.45,24.49,71.43,88.0,78.43,52.94,79.55,120.34,RO,RO-PARECIS
PIMENTEIRAS DO OESTE,110146,9.52,16.22,216.22,100.0,36.54,38.46,90.0,184.62,RO,RO-PIMENTEIRAS DO OESTE
